error_type,cwe,avg_char_len,avg_yes_vote_count,n,pred_0,pred_1,target_0,target_1
correct,CWE-787,5848.4,5.79,73,8,65,8,65
FP,CWE-787,6405.28,6.48,64,0,64,64,0
correct,CWE-125,6161.94,5.5,48,4,44,4,44
correct,CWE-703,5515.68,5.32,47,3,44,3,44
FP,CWE-125,6928.7,5.81,43,0,43,43,0
FP,CWE-703,4910.16,5.79,43,0,43,43,0
correct,CWE-476,3944.49,4.9,41,5,36,5,36
FP,CWE-476,4816.53,5.41,34,0,34,34,0
correct,CWE-416,7525.57,5.32,28,4,24,4,24
FP,CWE-416,7529.96,5.2,25,0,25,25,0
correct,CWE-200,2330.88,4.41,17,5,12,5,12
correct,CWE-119,2934.6,5.73,15,1,14,1,14
correct,CWE-369,2929.67,4.6,15,1,14,1,14
FP,CWE-20,4578.14,5.64,14,0,14,14,0
correct,CWE-20,4349.21,5.93,14,0,14,0,14
FP,CWE-119,3460.77,6.15,13,0,13,13,0
FP,CWE-369,3600.54,5.31,13,0,13,13,0
correct,CWE-617,4620.92,2.77,13,6,7,6,7
FP,CWE-190,4111.91,6.55,11,0,11,11,0
FP,CWE-200,2008.0,5.8,10,0,10,10,0
correct,CWE-190,4392.1,6.7,10,0,10,0,10
correct,CWE-415,1467.8,4.7,10,2,8,2,8
FP,CWE-362,1798.25,6.5,8,0,8,8,0
FP,CWE-401,6576.5,5.0,8,0,8,8,0
FP,CWE-415,1742.0,5.75,8,0,8,8,0
correct,CWE-362,1445.88,6.25,8,0,8,0,8
correct,CWE-401,6487.88,5.5,8,0,8,0,8
FN,CWE-787,2698.43,0.14,7,7,0,0,7
FP,CWE-120,13929.57,5.43,7,0,7,7,0
correct,CWE-120,13776.57,6.57,7,0,7,0,7
FP,CWE-617,5478.83,5.33,6,0,6,6,0
correct,CWE-22,3543.17,6.5,6,0,6,0,6
correct,CWE-835,7297.0,5.17,6,1,5,1,5
FN,CWE-416,13933.8,0.2,5,5,0,0,5
FN,CWE-617,4705.4,0.0,5,5,0,0,5
FP,CWE-189,2160.0,7.0,5,0,5,5,0
FP,CWE-22,3604.8,6.2,5,0,5,5,0
correct,CWE-189,2073.8,7.0,5,0,5,0,5
correct,CWE-284,965.2,4.8,5,1,4,1,4
FN,CWE-200,2500.25,0.0,4,4,0,0,4
FP,CWE-835,10790.0,6.75,4,0,4,4,0
correct,CWE-269,1180.0,3.0,4,1,3,1,3
correct,CWE-400,5866.5,4.25,4,1,3,1,3
FN,CWE-125,1535.33,0.0,3,3,0,0,3
FN,CWE-476,2880.33,0.0,3,3,0,0,3
FN,CWE-703,1889.0,0.33,3,3,0,0,3
FP,CWE-191,1496.33,7.0,3,0,3,3,0
FP,CWE-269,1198.0,4.67,3,0,3,3,0
FP,CWE-284,1236.67,6.67,3,0,3,3,0
FP,CWE-399,7127.33,3.0,3,0,3,3,0
correct,CWE-122,4532.33,3.33,3,1,2,1,2
correct,CWE-191,1452.33,7.0,3,0,3,0,3
correct,CWE-193,821.33,4.67,3,1,2,1,2
correct,CWE-276,3470.0,2.33,3,1,2,1,2
correct,CWE-310,2537.67,3.33,3,1,2,1,2
correct,CWE-399,7070.33,6.0,3,0,3,0,3
correct,CWE-59,2154.33,3.0,3,1,2,1,2
correct,CWE-79,5381.33,4.67,3,1,2,1,2
correct,CWE-843,2082.33,4.0,3,1,2,1,2
FN,CWE-415,451.5,0.5,2,2,0,0,2
FP,CWE-122,1294.0,4.5,2,0,2,2,0
FP,CWE-264,8902.0,7.0,2,0,2,2,0
FP,CWE-354,7272.0,5.0,2,0,2,2,0
FP,CWE-400,11310.0,7.0,2,0,2,2,0
FP,CWE-704,14759.0,7.0,2,0,2,2,0
FP,CWE-772,7014.5,6.5,2,0,2,2,0
FP,CWE-843,2214.5,6.0,2,0,2,2,0
FP,CWE-908,7034.5,5.5,2,0,2,2,0
correct,CWE-275,691.5,3.0,2,1,1,1,1
correct,CWE-354,6938.0,4.0,2,0,2,0,2
correct,CWE-704,14705.0,7.0,2,0,2,0,2
correct,CWE-754,3236.0,2.0,2,1,1,1,1
correct,CWE-772,6926.0,7.0,2,0,2,0,2
correct,CWE-908,6667.0,7.0,2,0,2,0,2
correct,CWE-94,1047.0,3.0,2,1,1,1,1
FN,CWE-122,1349.0,0.0,1,1,0,0,1
FN,CWE-190,260.0,0.0,1,1,0,0,1
FN,CWE-212,1308.0,0.0,1,1,0,0,1
FN,CWE-269,1227.0,0.0,1,1,0,0,1
FN,CWE-522,46206.0,0.0,1,1,0,0,1
FN,CWE-754,2597.0,0.0,1,1,0,0,1
FN,CWE-824,2329.0,0.0,1,1,0,0,1
FN,CWE-834,110.0,0.0,1,1,0,0,1
FN,CWE-843,2070.0,0.0,1,1,0,0,1
FN,CWE-94,1193.0,0.0,1,1,0,0,1
FP,CWE-134,1518.0,4.0,1,0,1,1,0
FP,CWE-17,2818.0,3.0,1,0,1,1,0
FP,CWE-193,1193.0,6.0,1,0,1,1,0
FP,CWE-252,1611.0,7.0,1,0,1,1,0
FP,CWE-276,3362.0,4.0,1,0,1,1,0
FP,CWE-287,9884.0,7.0,1,0,1,1,0
FP,CWE-288,50746.0,7.0,1,0,1,1,0
FP,CWE-295,3911.0,7.0,1,0,1,1,0
FP,CWE-310,4790.0,7.0,1,0,1,1,0
FP,CWE-327,3470.0,6.0,1,0,1,1,0
FP,CWE-345,2392.0,7.0,1,0,1,1,0
FP,CWE-434,7569.0,7.0,1,0,1,1,0
FP,CWE-444,19424.0,7.0,1,0,1,1,0
FP,CWE-552,959.0,7.0,1,0,1,1,0
FP,CWE-59,2458.0,7.0,1,0,1,1,0
FP,CWE-665,8880.0,5.0,1,0,1,1,0
FP,CWE-668,5684.0,6.0,1,0,1,1,0
FP,CWE-672,3002.0,7.0,1,0,1,1,0
FP,CWE-732,3416.0,4.0,1,0,1,1,0
FP,CWE-754,3727.0,4.0,1,0,1,1,0
FP,CWE-770,2542.0,7.0,1,0,1,1,0
FP,CWE-79,1551.0,7.0,1,0,1,1,0
FP,CWE-862,1161.0,5.0,1,0,1,1,0
FP,CWE-863,1248.0,7.0,1,0,1,1,0
FP,CWE-909,1686.0,4.0,1,0,1,1,0
FP,CWE-924,19005.0,7.0,1,0,1,1,0
FP,CWE-94,970.0,7.0,1,0,1,1,0
correct,CWE-134,1512.0,5.0,1,0,1,0,1
correct,CWE-17,2835.0,4.0,1,0,1,0,1
correct,CWE-212,1385.0,0.0,1,1,0,1,0
correct,CWE-252,1566.0,7.0,1,0,1,0,1
correct,CWE-264,13171.0,7.0,1,0,1,0,1
correct,CWE-287,10298.0,6.0,1,0,1,0,1
correct,CWE-288,50746.0,6.0,1,0,1,0,1
correct,CWE-295,3786.0,6.0,1,0,1,0,1
correct,CWE-327,3458.0,7.0,1,0,1,0,1
correct,CWE-345,1688.0,4.0,1,0,1,0,1
correct,CWE-434,7610.0,6.0,1,0,1,0,1
correct,CWE-444,19279.0,6.0,1,0,1,0,1
correct,CWE-522,47132.0,0.0,1,1,0,1,0
correct,CWE-552,883.0,7.0,1,0,1,0,1
correct,CWE-665,8888.0,5.0,1,0,1,0,1
correct,CWE-668,5086.0,5.0,1,0,1,0,1
correct,CWE-672,2972.0,7.0,1,0,1,0,1
correct,CWE-732,3456.0,3.0,1,0,1,0,1
correct,CWE-770,2050.0,7.0,1,0,1,0,1
correct,CWE-824,2427.0,0.0,1,1,0,1,0
correct,CWE-834,137.0,0.0,1,1,0,1,0
correct,CWE-862,1076.0,4.0,1,0,1,0,1
correct,CWE-863,1122.0,7.0,1,0,1,0,1
correct,CWE-909,1703.0,3.0,1,0,1,0,1
correct,CWE-924,18843.0,6.0,1,0,1,0,1
