idx,paired_idx,target,project,cwe,group,primary_category,categories,repair_signal,has_added_guard,has_added_error_handling,has_api_replacement,has_state_or_lifetime_repair,changed_line_count,changed_region_count,char_len,line_count,patch_margin,patch_closer_side,added_lines,changed_line_ratio,changed_lines,diff_excerpt,has_bounds_or_shape_repair,patch_pair_cwe,patch_pair_project,pred_pattern,removed_lines
207803,401579,1,linux,CWE-200,target1_all_wrong_semantic,other,other,weak_or_unknown,0,0,0,0,1,1,1703,64,-0.00010567903518676758,fixed,"this_cpu_add(net_rand_state.s1, fast_pool->pool[cycles & 3]);",0.015625,L25: add_interrupt_bench(cycles);,"--- vuln 207803
+++ fixed 401579
@@ -24,4 +24,5 @@
 	fast_mix(fast_pool);
 	add_interrupt_bench(cycles);
+	this_cpu_add(net_rand_state.s1, fast_pool->pool[cycles & 3]);
 
 	if (unlikely(crng_init == 0)) {",0,CWE-415,gpac,0|0|0|0|0|0,
207804,401525,1,linux,CWE-200,target1_all_wrong_semantic,randomness_entropy,randomness_entropy,weak_or_unknown,0,0,0,0,1,1,384,16,0.010110795497894287,vulnerable,"
/* The current CPU might make use of net randoms without receiving IRQs
* to renew them often enough. Let's update the net_rand_state from a
* non-constant value that's not affine to the number of calls to make
* sure it's updated when there's some activity (we don't care in idle).
*/
this_cpu_add(net_rand_state.s1, rol32(jiffies, 24) + user_tick);",0.0625,L15: run_posix_cpu_timers();,"--- vuln 207804
+++ fixed 401525
@@ -14,3 +14,10 @@
 	if (IS_ENABLED(CONFIG_POSIX_TIMERS))
 		run_posix_cpu_timers();
+
+	/* The current CPU might make use of net randoms without receiving IRQs
+	 * to renew them often enough. Let's update the net_rand_state from a
+	 * non-constant value that's not affine to the number of calls to make
+	 * sure it's updated when there's some activity (we don't care in idle).
+	 */
+	this_cpu_add(net_rand_state.s1, rol32(jiffies, 24) + user_tick);
 }",0,CWE-416,linux,0|0|0|0|0|0,
208140,406206,1,util-linux,CWE-200,target1_all_wrong_semantic,other,other,added_guard,1,0,0,0,1,1,7619,310,-0.9185095429420471,fixed,"if (mnt_context_is_restricted(cxt))
sanitize_paths(cxt);
",0.003226,L293: if (oper) {,"--- vuln 208140
+++ fixed 406206
@@ -291,4 +291,7 @@
 		usage(stderr);
 
+	if (mnt_context_is_restricted(cxt))
+		sanitize_paths(cxt);
+
 	if (oper) {
 		/* MS_PROPAGATION operations, let's set the mount flags */",0,CWE-17,php,0|0|0|0|0|0,
208525,412190,1,vim,CWE-787,target1_all_wrong_semantic,other,other,weak_or_unknown,0,0,0,0,0,0,1598,70,0.8876430988311768,vulnerable,"int		save_new_cmdpos = new_cmdpos;
new_cmdpos = save_new_cmdpos;
",0.0,,"--- vuln 208525
+++ fixed 412190
@@ -3,4 +3,5 @@
     int		i;
     int		c;
+    int		save_new_cmdpos = new_cmdpos;
 
 #ifdef USE_ON_FLY_SCROLL
@@ -21,6 +22,4 @@
     /*
      * Insert the result of an expression.
-     * Need to save the current command line, to be able to enter
-     * a new one...
      */
     new_cmdpos = -1;
@@ -63,4 +62,6 @@
 #endif
     }
+    new_cmdpos = save_new_cmdpos;
+
     // remove the double quote
     redrawcmd();",0,CWE-200,linux,0|0|0|0|0|0,"* Need to save the current command line, to be able to enter
* a new one..."
208654,413339,1,php-src,CWE-416,target1_all_wrong_semantic,other,other,weak_or_unknown,0,0,0,0,1,1,4635,85,0.9130544066429138,vulnerable,php_snmp_object_handlers.get_gc = php_snmp_get_gc;,0.011765,L26: php_snmp_object_handlers.get_properties = php_snmp_get_properties;,"--- vuln 208654
+++ fixed 413339
@@ -25,4 +25,5 @@
 	php_snmp_object_handlers.has_property = php_snmp_has_property;
 	php_snmp_object_handlers.get_properties = php_snmp_get_properties;
+	php_snmp_object_handlers.get_gc = php_snmp_get_gc;
 
 	/* Register SNMP Class */",0,CWE-601,mod_auth_openidc,0|0|0|0|0|0,
208912,416366,1,vim,CWE-416,target1_all_wrong_semantic,state_flag,state_flag|null_check,added_guard|state_or_lifetime_repair,1,0,0,1,2,2,25369,1011,-0.9111117720603943,fixed,"buf_T	*b_im_ptr_buf = NULL;	// buffer where b_im_ptr is valid
b_im_ptr_buf = curbuf;
cmdline_toggle_langmap(
buf_valid(b_im_ptr_buf) ? b_im_ptr : NULL);
if (b_im_ptr != NULL && buf_valid(b_im_ptr_buf)
&& *b_im_ptr != B_IMODE_LMAP)",0.001978,"L480: cmdline_toggle_langmap(b_im_ptr);
L990: if (b_im_ptr != NULL && *b_im_ptr != B_IMODE_LMAP)","--- vuln 208912
+++ fixed 416366
@@ -31,4 +31,5 @@
     expand_T	xpc;
     long	*b_im_ptr = NULL;
+    buf_T	*b_im_ptr_buf = NULL;	// buffer where b_im_ptr is valid
     cmdline_info_T save_ccline;
     int		did_save_ccline = FALSE;
@@ -127,4 +128,5 @@
 	else
 	    b_im_ptr = &curbuf->b_p_imsearch;
+	b_im_ptr_buf = curbuf;
 	if (*b_im_ptr == B_IMODE_LMAP)
 	    State |= MODE_LANGMAP;
@@ -478,5 +480,6 @@
 
 	case Ctrl_HAT:
-		cmdline_toggle_langmap(b_im_ptr);
+		cmdline_toggle_langmap(
+				    buf_valid(b_im_ptr_buf) ? b_im_ptr : NULL);
 		goto cmdline_not_changed;
 
@@ -988,5 +991,6 @@
 
 #ifdef HAVE_INPUT_METHOD
-    if (b_im_ptr != NULL && *b_im_ptr != B_IMODE_LMAP)
+    if (b_im_ptr != NULL && buf_valid(b_im_ptr_buf)
+						  && *b_im_ptr != B_IMODE_LMAP)
 	im_save_status(b_im_ptr);
     im_set_active(FALSE);",0,CWE-362,linux,0|0|0|0|0|0,"cmdline_toggle_langmap(b_im_ptr);
if (b_im_ptr != NULL && *b_im_ptr != B_IMODE_LMAP)"
209955,424969,1,linux,CWE-476,target1_all_wrong_semantic,null_check,null_check|error_handling,added_guard|added_error_handling,1,1,0,0,3,1,5021,182,0.9317487478256226,vulnerable,"
trans_pcie->rba.alloc_wq = alloc_workqueue(""rb_allocator"",
WQ_HIGHPRI | WQ_UNBOUND, 1);
if (!trans_pcie->rba.alloc_wq) {
ret = -ENOMEM;
goto out_free_trans;
}
INIT_WORK(&trans_pcie->rba.rx_alloc, iwl_pcie_rx_allocator_work);

destroy_workqueue(trans_pcie->rba.alloc_wq);
out_free_trans:",0.016484,"L165: trans_pcie->rba.alloc_wq = alloc_workqueue(""rb_allocator"",
L166: WQ_HIGHPRI | WQ_UNBOUND, 1);
L167: INIT_WORK(&trans_pcie->rba.rx_alloc, iwl_pcie_rx_allocator_work);","--- vuln 209955
+++ fixed 424969
@@ -29,4 +29,13 @@
 	mutex_init(&trans_pcie->mutex);
 	init_waitqueue_head(&trans_pcie->ucode_write_waitq);
+
+	trans_pcie->rba.alloc_wq = alloc_workqueue(""rb_allocator"",
+						   WQ_HIGHPRI | WQ_UNBOUND, 1);
+	if (!trans_pcie->rba.alloc_wq) {
+		ret = -ENOMEM;
+		goto out_free_trans;
+	}
+	INIT_WORK(&trans_pcie->rba.rx_alloc, iwl_pcie_rx_allocator_work);
+
 	trans_pcie->tso_hdr_page = alloc_percpu(struct iwl_tso_hdr_page);
 	if (!trans_pcie->tso_hdr_page) {
@@ -163,8 +172,4 @@
 	 }
 
-	trans_pcie->rba.alloc_wq = alloc_workqueue(""rb_allocator"",
-						   WQ_HIGHPRI | WQ_UNBOUND, 1);
-	INIT_WORK(&trans_pcie->rba.rx_alloc, iwl_pcie_rx_allocator_work);
-
 #ifdef CONFIG_IWLWIFI_DEBUGFS
 	trans_pcie->fw_mon_data.state = IWL_FW_MON_DBGFS_STATE_CLOSED;
@@ -178,4 +183,6 @@
 out_no_pci:
 	free_percpu(trans_pcie->tso_hdr_page);
+	destroy_workqueue(trans_pcie->rba.alloc_wq);
+out_free_trans:
 	iwl_trans_free(trans);
 	return ERR_PTR(ret);",0,CWE-476,linux,0|0|0|0|0|0,"trans_pcie->rba.alloc_wq = alloc_workqueue(""rb_allocator"",
WQ_HIGHPRI | WQ_UNBOUND, 1);
INIT_WORK(&trans_pcie->rba.rx_alloc, iwl_pcie_rx_allocator_work);
"
210050,427153,1,lua,CWE-125,target1_all_wrong_semantic,auth_config,auth_config,weak_or_unknown,0,0,0,0,2,1,467,12,-0.9038133025169373,fixed,"luaK_exp2anyregup(fs, var);  /* but could be a constant */",0.166667,"L8: lua_assert(var->k != VVOID);  /* this one must exist */
L9: codestring(&key, varname);  /* key is variable name */","--- vuln 210050
+++ fixed 427153
@@ -7,4 +7,5 @@
     singlevaraux(fs, ls->envn, var, 1);  /* get environment variable */
     lua_assert(var->k != VVOID);  /* this one must exist */
+    luaK_exp2anyregup(fs, var);  /* but could be a constant */
     codestring(&key, varname);  /* key is variable name */
     luaK_indexed(fs, var, &key);  /* env[varname] */",0,CWE-200,linux,0|0|0|0|0|0,
210203,430335,1,linux,CWE-787,target1_all_wrong_semantic,shape_invariant,shape_invariant|bounds_size|null_check|error_handling,added_guard|added_error_handling|bounds_or_shape_repair,1,1,0,0,1,1,94,4,-0.8887380957603455,fixed,"if (unlikely(size > MAX_RW_COUNT))
return NULL;
",0.25,"L3: return kvmalloc(size, GFP_KERNEL_ACCOUNT);","--- vuln 210203
+++ fixed 430335
@@ -1,4 +1,7 @@
 static void *seq_buf_alloc(unsigned long size)
 {
+	if (unlikely(size > MAX_RW_COUNT))
+		return NULL;
+
 	return kvmalloc(size, GFP_KERNEL_ACCOUNT);
 }",1,CWE-416,linux,0|0|0|0|0|0,
210273,432152,1,mongo,CWE-617,target1_all_wrong_semantic,null_check,null_check,added_guard,1,0,0,0,5,2,10193,171,0.8944410085678101,vulnerable,"if (auto css = CollectionShardingState::get(opCtx, coll->ns());
css->getCollectionDescription(opCtx).isSharded() &&
!expCtx->ns.isTimeseriesBucketsCollection()) {
// Since the incoming operation is sharded, use the CSS to infer the filtering metadata for
// the collection. We get the shard ownership filter after checking to see if the collection
// is sharded to avoid an invariant from being fired in this call.
auto collectionFilter = css->getOwnershipFilter(
opCtx, CollectionShardingState::OrphanCleanupPolicy::kDisallowOrphanCleanup);",0.02924,"L48: auto collectionFilter =
L49: CollectionShardingState::get(opCtx, coll->ns())
L50: ->getOwnershipFilter(
L51: opCtx, CollectionShardingState::OrphanCleanupPolicy::kDisallowOrphanCleanup);
L60: if (collectionFilter.isSharded() && !expCtx->ns.isTimeseriesBucketsCollection()) {","--- vuln 210273
+++ fixed 432152
@@ -44,11 +44,4 @@
     static_cast<MultiIteratorStage*>(root.get())->addIterator(std::move(rsRandCursor));
 
-    // If the incoming operation is sharded, use the CSS to infer the filtering metadata for the
-    // collection, otherwise treat it as unsharded
-    auto collectionFilter =
-        CollectionShardingState::get(opCtx, coll->ns())
-            ->getOwnershipFilter(
-                opCtx, CollectionShardingState::OrphanCleanupPolicy::kDisallowOrphanCleanup);
-
     TrialStage* trialStage = nullptr;
 
@@ -58,5 +51,7 @@
     // 100 works() is such that we would have chosen not to optimize.
     static const size_t kMaxPresampleSize = 100;
-    if (collectionFilter.isSharded() && !expCtx->ns.isTimeseriesBucketsCollection()) {
+    if (auto css = CollectionShardingState::get(opCtx, coll->ns());
+        css->getCollectionDescription(opCtx).isSharded() &&
+        !expCtx->ns.isTimeseriesBucketsCollection()) {
         // The ratio of owned to orphaned documents must be at least equal to the ratio between the
         // requested sampleSize and the maximum permitted sampleSize for the original constraints to
@@ -66,4 +61,9 @@
         const auto minAdvancedToWorkRatio = std::max(
             sampleSize / (numRecords * kMaxSampleRatioForRandCursor), kMaxSampleRatioForRandCursor);
+        // Since the incoming operation is sharded, use the CSS to infer the filtering metadata for
+        // the collection. We get the shard ownership filter after checking to see if the collection
+        // is sharded to avoid an invariant from being fired in this call.
+        auto collectionFilter = css->getOwnershipFilter(
+            opCtx, CollectionShardingState::OrphanCleanupPolicy::kDisallowOrphanCleanup);
         // The trial plan is SHARDING_FILTER-MULTI_ITERATOR.
         auto randomCursorPlan = std::make_unique<ShardFilterStage>(",0,CWE-119,w3m,0|0|0|0|0|0,"// If the incoming operation is sharded, use the CSS to infer the filtering metadata for the
// collection, otherwise treat it as unsharded
auto collectionFilter =
CollectionShardingState::get(opCtx, coll->ns())
->getOwnershipFilter(
opCtx, CollectionShardingState::OrphanCleanupPolicy::kDisallowOrphanCleanup);

if (collectionFilter.isSharded() && !expCtx->ns.isTimeseriesBucketsCollection()) {"
210944,443298,1,vim,CWE-416,target1_all_wrong_semantic,null_check,null_check,added_guard,1,0,0,0,1,1,22933,761,-0.9320205450057983,fixed,if (breakpoint != NULL && lines_ga.ga_len > current_line),0.001314,L453: if (breakpoint != NULL),"--- vuln 210944
+++ fixed 443298
@@ -451,5 +451,5 @@
 		    // Check for the next breakpoint at or after the "":while""
 		    // or "":for"".
-		    if (breakpoint != NULL)
+		    if (breakpoint != NULL && lines_ga.ga_len > current_line)
 		    {
 			*breakpoint = dbg_find_breakpoint(",0,CWE-415,linux,0|0|0|0|0|0,if (breakpoint != NULL)
211563,449294,1,vim,CWE-122,target1_all_wrong_semantic,other,other,weak_or_unknown,0,0,0,0,1,1,1349,47,0.8860520124435425,vulnerable,trigger_modechanged();,0.021277,L11: trigger_modechanged();,"--- vuln 211563
+++ fixed 449294
@@ -9,5 +9,4 @@
     VIsual_active = TRUE;
     VIsual_reselect = TRUE;
-    trigger_modechanged();
 
     // Corner case: the 0 position in a tab may change when going into
@@ -24,4 +23,5 @@
 #endif
 
+    trigger_modechanged();
     setmouse();
 #ifdef FEAT_CONCEAL",0,CWE-862,linux,0|0|0|0|0|0,trigger_modechanged();
211695,450764,1,vim,CWE-416,target1_all_wrong_semantic,other,other,weak_or_unknown,0,0,0,0,2,2,1662,73,0.019993484020233154,vulnerable,"col = (colnr_T)(rex.input - rex.line);

// getvvcol() flushes rex.line, need to get it again
rex.line = reg_getline(rex.lnum);
rex.input = rex.line + col;

cols = win_linetabsize(wp, rex.line, col);",0.027397,"L53: col = (colnr_T)(rex.input - rex.line);
L68: cols = win_linetabsize(wp, rex.line, (colnr_T)(rex.input - rex.line));","--- vuln 211695
+++ fixed 450764
@@ -49,7 +49,7 @@
 	return FALSE;
 
+    col = (colnr_T)(rex.input - rex.line);
     if (mode == 'v')
     {
-	col = (colnr_T)(rex.input - rex.line);
 	if ((lnum == top.lnum && col < top.col)
 		|| (lnum == bot.lnum && col >= bot.col + (*p_sel != 'e')))
@@ -66,5 +66,10 @@
 	if (top.col == MAXCOL || bot.col == MAXCOL || curswant == MAXCOL)
 	    end = MAXCOL;
-	cols = win_linetabsize(wp, rex.line, (colnr_T)(rex.input - rex.line));
+
+	// getvvcol() flushes rex.line, need to get it again
+	rex.line = reg_getline(rex.lnum);
+	rex.input = rex.line + col;
+
+	cols = win_linetabsize(wp, rex.line, col);
 	if (cols < start || cols > end - (*p_sel == 'e'))
 	    return FALSE;",0,CWE-190,haproxy,0|0|0|0|0|0,"col = (colnr_T)(rex.input - rex.line);
cols = win_linetabsize(wp, rex.line, (colnr_T)(rex.input - rex.line));"
215103,483469,1,mongo,CWE-617,target1_all_wrong_semantic,null_check,null_check,added_guard,1,0,0,0,5,2,9585,161,0.8944410085678101,vulnerable,"if (auto css = CollectionShardingState::get(opCtx, coll->ns());
css->getCollectionDescription(opCtx).isSharded() &&
!expCtx->ns.isTimeseriesBucketsCollection()) {
// Since the incoming operation is sharded, use the CSS to infer the filtering metadata for
// the collection. We get the shard ownership filter after checking to see if the collection
// is sharded to avoid an invariant from being fired in this call.
auto collectionFilter = css->getOwnershipFilter(
opCtx, CollectionShardingState::OrphanCleanupPolicy::kDisallowOrphanCleanup);",0.031056,"L48: auto collectionFilter =
L49: CollectionShardingState::get(opCtx, coll->ns())
L50: ->getOwnershipFilter(
L51: opCtx, CollectionShardingState::OrphanCleanupPolicy::kDisallowOrphanCleanup);
L60: if (collectionFilter.isSharded() && !expCtx->ns.isTimeseriesBucketsCollection()) {","--- vuln 215103
+++ fixed 483469
@@ -44,11 +44,4 @@
     static_cast<MultiIteratorStage*>(root.get())->addIterator(std::move(rsRandCursor));
 
-    // If the incoming operation is sharded, use the CSS to infer the filtering metadata for the
-    // collection, otherwise treat it as unsharded
-    auto collectionFilter =
-        CollectionShardingState::get(opCtx, coll->ns())
-            ->getOwnershipFilter(
-                opCtx, CollectionShardingState::OrphanCleanupPolicy::kDisallowOrphanCleanup);
-
     TrialStage* trialStage = nullptr;
 
@@ -58,5 +51,7 @@
     // 100 works() is such that we would have chosen not to optimize.
     static const size_t kMaxPresampleSize = 100;
-    if (collectionFilter.isSharded() && !expCtx->ns.isTimeseriesBucketsCollection()) {
+    if (auto css = CollectionShardingState::get(opCtx, coll->ns());
+        css->getCollectionDescription(opCtx).isSharded() &&
+        !expCtx->ns.isTimeseriesBucketsCollection()) {
         // The ratio of owned to orphaned documents must be at least equal to the ratio between the
         // requested sampleSize and the maximum permitted sampleSize for the original constraints to
@@ -66,4 +61,9 @@
         const auto minAdvancedToWorkRatio = std::max(
             sampleSize / (numRecords * kMaxSampleRatioForRandCursor), kMaxSampleRatioForRandCursor);
+        // Since the incoming operation is sharded, use the CSS to infer the filtering metadata for
+        // the collection. We get the shard ownership filter after checking to see if the collection
+        // is sharded to avoid an invariant from being fired in this call.
+        auto collectionFilter = css->getOwnershipFilter(
+            opCtx, CollectionShardingState::OrphanCleanupPolicy::kDisallowOrphanCleanup);
         // The trial plan is SHARDING_FILTER-MULTI_ITERATOR.
         auto randomCursorPlan = std::make_unique<ShardFilterStage>(",0,CWE-119,w3m,0|0|0|0|0|0,"// If the incoming operation is sharded, use the CSS to infer the filtering metadata for the
// collection, otherwise treat it as unsharded
auto collectionFilter =
CollectionShardingState::get(opCtx, coll->ns())
->getOwnershipFilter(
opCtx, CollectionShardingState::OrphanCleanupPolicy::kDisallowOrphanCleanup);

if (collectionFilter.isSharded() && !expCtx->ns.isTimeseriesBucketsCollection()) {"
215142,484063,1,open62541,CWE-703,target1_all_wrong_semantic,other,other,weak_or_unknown,0,0,0,0,1,1,500,11,-0.897403359413147,fixed,"testingConnection =
createDummyConnection(UA_ConnectionConfig_default.sendBufferSize, &sentData);",0.090909,"L6: testingConnection = createDummyConnection(65535, &sentData);","--- vuln 215142
+++ fixed 484063
@@ -4,5 +4,6 @@
     UA_SecureChannel_setSecurityPolicy(&testChannel, &dummyPolicy, &dummyCertificate);
 
-    testingConnection = createDummyConnection(65535, &sentData);
+    testingConnection =
+        createDummyConnection(UA_ConnectionConfig_default.sendBufferSize, &sentData);
     UA_Connection_attachSecureChannel(&testingConnection, &testChannel);
     testChannel.connection = &testingConnection;",0,CWE-119,Chrome,0|0|0|0|0|0,"testingConnection = createDummyConnection(65535, &sentData);"
216812,506696,1,openssl,CWE-476,target1_all_wrong_semantic,error_handling,error_handling,weak_or_unknown,0,0,0,0,2,1,95,5,-0.8678557872772217,fixed,ADD_TEST(test_GENERAL_NAME_cmp);,0.4,"L3: ADD_ALL_TESTS(call_run_cert, OSSL_NELEM(name_fns));
L4: return 1;","--- vuln 216812
+++ fixed 506696
@@ -2,4 +2,5 @@
 {
     ADD_ALL_TESTS(call_run_cert, OSSL_NELEM(name_fns));
+    ADD_TEST(test_GENERAL_NAME_cmp);
     return 1;
 }",0,CWE-20,openssh-portable,0|0|0|0|0|0,
216903,508874,1,server,CWE-476,target1_all_wrong_semantic,lifetime_ownership,state_flag|lifetime_ownership|null_check,added_guard|state_or_lifetime_repair,1,0,0,1,1,1,3525,115,-0.8891378045082092,fixed,"
if (is_correlated_unit)
{
/*
Some parts of UNION are not correlated. This means we will need to
re-execute the whole UNION every time. Mark all parts of the UNION
as correlated so that they are prepared to be executed multiple
times (if we don't do that, some part of the UNION may free its
execution data at the end of first execution and crash on the second
execution)
*/
for (SELECT_LEX *sl= un->first_select(); sl; sl= sl->next_select())
sl->uncacheable |= UNCACHEABLE_DEPENDENT;
}
else",0.008696,L109: if (!is_correlated_unit),"--- vuln 216903
+++ fixed 508874
@@ -107,5 +107,19 @@
       if (empty_union_result)
         subquery_predicate->no_rows_in_result();
-      if (!is_correlated_unit)
+
+      if (is_correlated_unit)
+      {
+        /*
+          Some parts of UNION are not correlated. This means we will need to
+          re-execute the whole UNION every time. Mark all parts of the UNION
+          as correlated so that they are prepared to be executed multiple
+          times (if we don't do that, some part of the UNION may free its
+          execution data at the end of first execution and crash on the second
+          execution)
+        */
+        for (SELECT_LEX *sl= un->first_select(); sl; sl= sl->next_select())
+          sl->uncacheable |= UNCACHEABLE_DEPENDENT;
+      }
+      else
         un->uncacheable&= ~UNCACHEABLE_DEPENDENT;
       subquery_predicate->is_correlated= is_correlated_unit;",0,CWE-189,linux,0|0|0|0|0|0,if (!is_correlated_unit)
